ORIGGPCD;ORIGGPFR;ORIGFDCD;ORIGFDNM;Energie, Règlement UE N° 1169/2011 (kJ/100g);Energie, Règlement UE N° 1169/2011 (kcal/100g);Energie, N x facteur Jones, avec fibres  (kJ/100g);Energie, N x facteur Jones, avec fibres  (kcal/100g);Eau (g/100g);Protéines (g/100g);Protéines brutes, N x 6.25 (g/100g);Glucides (g/100g);Lipides (g/100g);Sucres (g/100g);Amidon (g/100g);Fibres alimentaires (g/100g);Polyols totaux (g/100g);Cendres (g/100g);Alcool (g/100g);Acides organiques (g/100g);AG saturés (g/100g);AG monoinsaturés (g/100g);AG polyinsaturés (g/100g);AG 4:0, butyrique (g/100g);AG 6:0, caproïque (g/100g);AG 8:0, caprylique (g/100g);AG 10:0, caprique (g/100g);AG 12:0, laurique (g/100g);AG 14:0, myristique (g/100g);AG 16:0, palmitique (g/100g);AG 18:0, stéarique (g/100g);AG 18:1 9c (n-9), oléique (g/100g);AG 18:2 9c,12c (n-6), linoléique (g/100g);AG 18:3 c9,c12,c15 (n-3), alpha-linolénique (g/100g);AG 20:4 5c,8c,11c,14c (n-6), arachidonique (g/100g);AG 20:5 5c,8c,11c,14c,17c (n-3) EPA (g/100g);AG 22:6 4c,7c,10c,13c,16c,19c (n-3) DHA (g/100g);Cholestérol (mg/100g);Sel chlorure de sodium (g/100g);Calcium (mg/100g);Chlorure (mg/100g);Cuivre (mg/100g);Fer (mg/100g);Iode (µg/100g);Magnésium (mg/100g);Manganèse (mg/100g);Phosphore (mg/100g);Potassium (mg/100g);Sélénium (µg/100g);Sodium (mg/100g);Zinc (mg/100g);Rétinol (µg/100g);Beta-Carotène (µg/100g);Vitamine D (µg/100g);Vitamine E (mg/100g);Vitamine K1 (µg/100g);Vitamine K2 (µg/100g);Vitamine C (mg/100g);Vitamine B1 ou Thiamine (mg/100g);Vitamine B2 ou Riboflavine (mg/100g);Vitamine B3 ou PP ou Niacine (mg/100g);Vitamine B5 ou Acide pantothénique (mg/100g);Vitamine B6 (mg/100g);Vitamine B9 ou Folates totaux (µg/100g);Vitamine B12 (µg/100g)
07.2;Oeufs, cuits;22009;Oeuf, jaune (jaune d'oeuf), cuit;                1410;                 340;                1410;                 340;                50.3;                  16;                  16;                1.31;                30.1;                0.55;0;0;0;                2.24;0;0;                8.49;                12.1;                4.45;-;-;-;-;-;               0.077;                6.23;                1.95;                11.2;                3.51;                0.17;                0.45;-;                0.24;                 612;               0.035;                76.4;                 0.2;                0.15;                0.95;                 192;                 4.5;< 0.1;                 121;                58.6;                76.4;                  14;                 1.4;                 263;                 106;                2.11;                   5;-;-;0;                0.17;                0.39;< 0.16;                4.54;                 0.3;                 166;                2.43
07.2;Oeufs, cuits;22010;Oeuf, dur;                 557;                 134;                 557;                 134;                76.5;                13.5;                13.5;                0.52;                8.62;                0.52;-;0;0;                0.88;0;0;                2.55;                3.57;                1.03;0;0;              0.0026;              0.0026;              0.0033;               0.029;                2.01;                 0.5;                3.57;                0.88;               0.038;               0.076;              0.0031;               0.035;                 355;                0.31;                  41;                 182;               0.068;                1.75;                49.7;                  14;               0.031;                 172;                 120;                7.01;                 124;                1.27;                61.5;                  11;                1.12;                1.03;                0.35;-;0;               0.066;                0.51;               0.064;                 1.4;                0.12;                  44;                1.11
07.2;Oeufs, cuits;22011;Oeuf, poché;                 578;                 139;                 578;                 139;                75.7;                12.5;                12.5;                0.89;                9.47;                0.37;-;0;0;                1.46;0;0;                2.99;                4.04;                1.49;              0.0039;0;              0.0039;-;0;               0.019;                2.18;                0.79;-;-;-;-;0;               0.058;                 370;                 0.2;                68.2;-;               0.069;                1.75;                  52;                10.8;                0.03;                 197;                 138;                7.68;                79.3;                 1.1;                 159;0;                   2;                1.04;                 0.3;-;0;               0.032;                0.39;               0.063;                1.53;                0.14;                  35;                0.71
07.2;Oeufs, cuits;22014;Oeuf, à la coque;                 590;                 142;                 590;                 142;                  76;                12.2;                12.2;                1.08;                9.82;                0.77;0;0;0;                0.91;0;0;                3.11;                4.42;                1.28;-;-;-;-;-;               0.031;                2.13;                0.65;                3.73;                1.06;               0.044;                0.11;-;               0.057;                 222;                 0.2;                 150;-;< 0.1;                 1.9;                50.4;                11.7;< 0.1;                 155;                 164;                23.8;                 150;                0.93;                 132;                  11;                1.28;                2.17;-;-;< 0.5;               0.081;                0.41;                0.06;                1.34;                0.06;                  57;                0.96
07.2;Oeufs, cuits;22502;Oeuf, brouillé, avec matière grasse;                 604;                 145;                 604;                 145;                76.4;                9.99;                9.99;                1.62;                  11;                1.43;-;0;0;                1.01;0;0;                3.33;                4.44;                2.43;               0.019;               0.016;               0.019;-;               0.017;               0.057;                2.17;                0.93;-;-;-;-;0;               0.043;                 277;                0.48;                  66;-;               0.059;                1.31;                  52;                  11;               0.022;                 165;                 132;                22.5;                 145;                1.04;                 159;                  26;                 1.8;                0.98;                   4;-;0;                0.04;                0.38;               0.076;                1.22;                0.13;                  36;                0.76
07.2;Oeufs, cuits;22505;Oeuf, au plat, sans matière grasse;                 611;                 147;                 611;                 147;                74.6;                13.8;                13.8;                1.01;                9.72;-;-;0;0;                0.95;0;0;                2.71;                3.43;-;-;-;-;-;-;               0.032;                2.03;                0.63;                3.43;                1.25;               0.056;                0.13;-;               0.069;                 736;                 0.4;-;                 243;-;                 2.6;                54.5;-;-;-;-;-;                 159;-;                 115;-;                0.74;-;-;-;-;-;-;-;-;-;-;-
07.3;Omelettes composées et autres ovoproduits;22003;Oeuf, jaune (jaune d'oeuf), en poudre;                2730;                 660;                2730;                 660;                2.87;                34.1;                34.1;                2.77;                  57;                0.07;-;0;0;                3.35;0;0;                17.6;                22.3;                8.55;0;0;0;0;0;                0.18;                12.9;                4.43;                19.5;                 6.4;                0.15;                0.83;                 0.2;                0.24;                2320;                0.37;                 296;-;               0.012;                7.46;-;                19.5;                0.19;                 980;                 254;-;                 149;                6.33;                 904;0;                11.4;                4.81;                 1.5;-;0;                0.34;                1.57;               0.089;                8.42;                0.75;                 227;                5.68
07.3;Omelettes composées et autres ovoproduits;22004;Oeuf, blanc (blanc d'oeuf), en poudre;                1510;                 356;                1510;                 356;                 5.8;                81.2;                81.2;                7.73;0;                 5.4;-;0;0;                 5.3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;                 3.2;                  62;-;                0.11;                0.15;-;                  88;               0.007;                 111;                1130;-;                1280;                 0.1;0;0;0;0;0;-;0;               0.005;                2.53;                0.87;                0.78;               0.036;                  18;                0.18
07.3;Omelettes composées et autres ovoproduits;22013;Oeuf, en poudre;                2420;                 582;                2420;                 582;                3.39;                47.9;                47.9;                3.11;                  42;                 0.3;0;0;0;                3.55;0;0;                13.1;                16.1;                6.48;0;0;0;0;0;                0.14;                9.48;                3.39;                14.1;                 4.6;                0.11;                0.57;                0.28;                0.18;                1670;                1.25;                 234;-;                 0.2;                5.56;                  21;                  38;               0.058;                 730;                 517;                87.4;                 502;                4.22;                 210;0;                 3.1;                1.11;                 1.2;-;0;                0.19;                1.76;                0.32;                5.73;                0.44;                 145;                3.67
07.3;Omelettes composées et autres ovoproduits;22506;Omelette au fromage;                1060;                 255;                1060;                 255;                58.5;                17.7;                17.7;                2.56;                19.3;                 0.4;0;0;0;                1.98;0;0;                10.1;                6.31;                1.62;-;-;-;-;-;-;-;-;-;-;-;-;-;-;                 253;                0.58;-;-;               0.051;                1.16;                43.5;                23.6;               0.036;                 388;                 112;                10.8;                 231;                2.48;                 198;                  64;                1.39;                0.82;-;-;0;               0.059;                0.34;                0.08;                0.85;                0.09;                25.8;                1.55
07.3;Omelettes composées et autres ovoproduits;22507;Omelette aux lardons;                1110;                 267;                1110;                 267;                61.1;                12.5;                12.5;                1.46;                23.5;                0.68;0;0;0;                1.53;0;0;                9.41;                9.38;                2.83;-;-;-;-;-;-;-;-;-;-;-;-;-;-;                 270;                0.98;                48.2;-;               0.034;                1.39;                37.6;                  12;               0.022;                 157;                 184;                11.3;                 392;                0.99;                 132;                25.2;                1.11;                0.99;-;-;0;                0.21;                0.29;                1.13;                0.95;                0.14;                25.6;                 0.9
07.3;Omelettes composées et autres ovoproduits;22508;Omelette aux champignons;                 520;                 125;                 520;                 125;                  79;                8.09;                8.09;                2.28;                 9.2;                 0.7;0;                0.45;0;                0.98;0;0;                2.97;                3.61;                1.51;-;-;-;-;-;-;-;-;-;-;-;-;-;-;                 247;                0.35;                  48;-;                0.16;                 1.4;                36.5;                11.4;                0.04;                 152;                 193;                11.5;                 141;                0.86;                 132;                  25;                1.11;                0.82;-;-;-;               0.075;                0.37;                1.25;                1.39;                0.12;                34.6;                0.81
07.3;Omelettes composées et autres ovoproduits;22509;Omelette aux fines herbes;                 612;                 147;                 612;                 147;                75.7;                 9.5;                 9.5;                1.98;                11.2;                 0.8;0;                0.55;0;                1.13;0;0;                 3.6;                 4.4;                1.81;-;-;-;-;-;-;-;-;-;-;-;-;-;-;                 301;                0.43;                  86;-;               0.044;                1.83;                43.9;                14.5;                0.19;                 157;                 188;                11.6;                 173;                0.92;                 160;                 549;                1.38;                 1.3;-;-;-;               0.071;                0.33;                 0.2;                1.06;                0.12;                56.1;                0.97
07.3;Omelettes composées et autres ovoproduits;22510;Tortilla espagnole aux oignons (omelette aux pommes de terre et oignons);                 570;                 137;                 570;                 137;                73.1;                4.67;                4.67;                11.2;                7.73;                0.93;-;                1.69;0;                1.59;0;0;                 1.6;                1.99;                2.87;-;-;-;-;-;-;-;-;-;                2.83;                0.02;-;-;-;-;                1.03;-;-;-;-;-;-;-;-;-;-;                 366;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
08.1;Beurres et matières grasses laitières;16400;Beurre à 82% MG, doux;                3070;                 746;                3070;                 746;                15.8;                0.72;                0.71;                1.27;                  82;                 0.5;0;0;0;                0.21;0;0;                55.4;                21.6;                2.73;                3.11;                2.03;                1.36;                 2.7;                2.94;                8.83;                23.2;                6.97;                18.1;                1.19;                0.37;-;               0.031;0;                 223;               0.039;                17.8;-;               0.026;               0.026;                1.75;                2.05;              0.0018;                  24;                  28;< 10;                15.5;               0.083;                 716;                 243;                1.12;                2.11;                9.63;                  15;0;               0.006;               0.035;               0.071;                0.11;              0.0035;                   3;                0.17
08.1;Beurres et matières grasses laitières;16401;Huile de beurre ou Beurre concentré;                3700;                 900;                3700;                 900;                 1.5;                0.28;                0.27;0;                99.9;0;-;0;0;traces;0;0;                61.9;                28.7;                3.69;                3.02;                2.08;                1.32;                2.93;                3.59;                10.8;                28.2;                8.49;                  22;                1.27;                0.43;-;               0.044;0;                 256;               0.005;                   4;-;               0.001;               0.004;-;0;0;                   3;               0.002;-;                   2;                0.01;                 824;                 193;                 1.8;                 2.8;                 8.6;-;0;               0.001;               0.005;               0.003;                0.01;               0.001;0;                0.01
08.1;Beurres et matières grasses laitières;16402;Beurre à 80% MG, demi-sel;                3030;                 736;                3030;                 736;                15.5;                0.72;                0.72;                1.59;                80.7;                0.39;-;0;0;                1.45;0;0;                  55;                21.3;                2.57;                3.06;                 2.6;                 1.3;                2.38;                2.59;                6.44;                21.9;                9.65;                18.6;                1.61;                0.45;-;0;0;                 223;                 1.9;                17.8;                1200;              0.0092;                0.13;                1.75;                4.94;              0.0047;                  24;                  39;< 10;                 762;               0.052;                 731;                 264;                1.13;                2.11;                   7;-;0;               0.006;               0.035;               0.071;                0.11;               0.003;                   3;                0.17
08.1;Beurres et matières grasses laitières;16403;Beurre à 80% MG, salé;                3120;                 757;                3120;                 757;                12.5;                0.55;                0.55;                3.16;                82.5;                0.41;-;0;0;                1.27;0;0;                  51;-;-;                2.62;                1.69;                1.04;                2.41;                2.54;                8.98;                23.5;                8.27;-;-;-;-;-;-;-;                1.35;-;-;-;-;-;-;-;-;-;-;                 540;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
08.1;Beurres et matières grasses laitières;16404;Beurre à 82% MG, doux, tendre;                3100;                 753;                3100;                 753;                15.6;                 0.7;                 0.7;0;                83.4;-;-;0;0;                   1;0;0;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;               0.055;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
08.1;Beurres et matières grasses laitières;16410;Beurre à 60-62% MG, à teneur réduite en matière grasse, doux;                2290;                 558;                2290;                 558;                36.7;                 1.2;                 1.2;                0.55;                61.2;                 0.5;0;0;0;                0.35;0;0;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;                 156;               0.052;                36.8;                  80;< 1;< 1;< 10;                 3.8;< 1;                  35;                47.7;                 5.5;                20.7;< 1;                 417;                 319;                 0.7;                 3.1;-;-;< 1;< 0.05;                0.09;< 0.05;                 0.1;                0.11;< 5;                0.32
08.1;Beurres et matières grasses laitières;16411;Beurre à 60-62% MG, à teneur réduite en matière grasse, demi-sel;                2270;                 553;                2270;                 553;                  37;                 0.9;                 0.9;                 0.1;                  61;                 0.1;0;0;0;                   1;0;0;                  37;                15.2;                1.97;                1.79;                1.06;                0.62;                1.38;                1.55;                5.55;                14.5;                6.68;-;-;-;-;0;0;                 120;                1.13;                33.4;-;0;                 0.6;                   2;                3.45;-;                  34;                42.3;-;                 450;                0.26;                 456;                 107;                   1;                1.58;                 4.8;-;0;                0.01;               0.045;                0.02;-;                0.01;                1.65;                0.13
08.1;Beurres et matières grasses laitières;16415;Beurre à 39-41% MG, léger, doux;                1530;                 371;                1530;                 371;                56.7;                 1.1;                 1.1;                 1.7;                  40;                 1.5;-;0;0;                0.53;0;0;                24.8;                9.37;-;                1.29;                0.89;                0.58;                1.24;                1.44;                4.12;                10.1;                   3;                7.91;                0.63;                0.23;-;-;-;                84.5;                0.45;-;-;-;                 0.1;                   2;-;-;-;-;-;                 180;-;-;-;-;                1.22;-;-;-;-;-;-;-;-;-;-
08.1;Beurres et matières grasses laitières;16712;"Matière grasse laitière à 25% MG, légère, ""à tartiner"", doux";                1030;                 250;                1030;                 250;                68.8;                 0.4;                 0.4;                4.43;                25.6;-;                 2.9;0;0;                0.77;0;0;                16.3;                5.85;                0.87;                0.77;                0.51;                0.31;                0.69;                0.84;                2.71;                7.75;                2.26;                4.86;-;                0.11;                0.03;               0.013;-;                  70;                0.72;                  18;                 465;< 1;< 1;< 10;                 2.5;< 1;                  14;                51.2;                 8.1;                 286;< 1;                 342;                 491;< 0.2;                 2.2;-;-;< 1;< 0.05;< 0.05;< 0.05;                0.06;< 0.05;< 5;< 0.2
08.1;Beurres et matières grasses laitières;16713;"Matière grasse laitière à 20% MG, légère, ""à tartiner"", doux";                 884;                 214;                 884;                 214;                72.1;                0.36;                0.36;                5.71;                21.1;                1.62;                4.09;0;0;                0.73;0;0;                10.5;                4.62;                0.71;                 0.6;                0.38;                0.22;                0.48;                 0.6;                1.77;                4.63;                1.53;                3.88;-;                 0.1;               0.021;               0.011;-;                  59;                0.57;                22.7;                 222;< 1;< 1;< 10;                 2.3;< 1;                  15;                48.1;                 5.8;                 228;< 1;                 448;                 732;                 0.7;                   2;-;-;< 1;< 0.05;< 0.05;< 0.05;                0.08;< 0.05;< 5;< 0.2
08.2;Autres matières grasses animales;16520;Saindoux;                3690;                 897;                3690;                 897;                 0.6;                   0;                   0;0;                99.7;0;0;0;0;0;0;0;                42.5;                41.5;                9.72;0;0;0;                0.13;                0.42;                1.56;                24.4;                15.3;                33.8;                8.64;                0.85;                0.13;               0.015;               0.044;                  95;               0.005;                   1;-;                0.02;                0.08;                1.15;                   1;               0.014;                   3;                   1;                 6.9;                   2;                0.11;                   9;0;                 2.5;                 0.5;0;-;0;0;0;0;0;                0.02;0;0
08.2;Autres matières grasses animales;16530;Lard gras, cru;                3330;                 810;                3330;                 810;                7.69;                2.92;                2.92;               2E-15;                88.7;0;-;0;0;                 0.7;0;0;                32.2;                  42;                10.4;0;0;0;                0.06;                0.19;                1.12;                19.5;                11.4;                19.8;                8.12;                0.35;-;0;0;                  57;               0.028;                   2;-;               0.018;                0.18;                 0.5;                   2;               0.002;                  38;                  65;-;                  11;                0.37;                   5;0;                 3.1;0;0;-;-;               0.084;               0.051;                0.99;                0.12;                0.03;                   1;                0.18
08.2;Autres matières grasses animales;16540;Graisse de poulet;                3690;                 898;                3690;                 898;                 0.2;0;0;             2.8E-15;                99.8;0;-;0;0;0;0;0;                29.8;                44.7;                20.9;0;0;0;0;                 0.1;                 0.9;                21.6;                   6;-;-;-;-;0;0;                  85;0;0;-;0;0;-;0;-;0;0;-;0;0;0;0;                 4.8;                 2.7;0;-;0;0;0;0;0;0;0;0
08.2;Autres matières grasses animales;16550;Graisse de canard;                3690;                 898;                3690;                 898;                 0.2;                   0;                   0;             2.8E-15;                99.8;0;0;0;0;0;0;0;                33.2;                49.3;                12.9;0;0;0;0;0;                 0.7;                24.7;                 7.8;-;-;-;-;0;0;                 100;0;0;-;0;0;                   2;0;-;0;0;-;0;0;0;0;                 4.8;                 2.7;0;-;0;0;0;0;0;0;0;0
08.2;Autres matières grasses animales;16560;Graisse d'oie;                3690;                 898;                3690;                 898;                 0.2;                   0;                   0;             2.8E-15;                99.8;0;-;0;0;0;0;0;                27.7;                56.7;                  11;0;0;0;0;0;                 0.5;                20.7;                 6.1;                53.5;                 9.8;                 0.5;0;0;0;                 100;0;0;-;-;0;                   2;0;-;0;0;-;0;0;                 144;0;0;                 2.7;-;-;0;0;0;0;0;0;0;0
08.2;Autres matières grasses animales;16570;Graisse de dinde;                3690;                 898;                3690;                 898;                 0.2;                   0;                   0;             2.8E-15;                99.8;0;-;0;0;0;0;0;                29.4;                42.9;                23.1;0;0;0;0;0;                 0.9;                20.6;                 6.2;-;-;-;-;0;0;                 102;0;0;-;0;0;-;0;-;0;0;-;0;0;0;0;                 4.8;                 2.9;0;-;0;0;0;0;0;0;0;0
08.3;Margarines et matières grasses composées;16614;Matière grasse végétale (type margarine) à 80% MG, salé;                2970;                 722;                2970;                 722;-;< 0.5;< 0.5;< 0.5;                  80;< 0.5;-;0;0;                1.78;0;0;                  32;                  35;                  12;-;-;-;-;-;-;-;-;-;                 9.5;                 2.5;-;-;-;-;                1.78;-;-;-;-;-;-;-;-;-;-;                 710;-;-;-;                  10;-;-;-;-;-;-;-;-;-;-;-
08.3;Margarines et matières grasses composées;16615;Matière grasse végétale ou margarine, 80% MG, doux;                2990;                 727;                2990;                 727;                16.3;                0.26;                0.26;                1.18;                80.1;                 0.4;0;0;0;                2.16;0;0;                23.9;                29.1;                23.6;0;0;                0.52;                0.14;                2.67;                1.47;                13.5;                5.61;                23.1;                15.1;                1.89;-;0;0;                   2;                0.43;                11.1;                 147;              0.0063;               0.098;                1.83;                4.19;              0.0043;                10.8;                32.5;< 2.2;                 174;                0.04;                 780;                  20;0;                 8.5;                  75;-;0;                0.01;               0.025;               0.013;               0.084;               0.003;                 1.5;                 0.1
08.3;Margarines et matières grasses composées;16616;Matière grasse végétale (type margarine) à 70% MG, doux;                2640;                 641;                2640;                 641;                26.5;                0.13;                0.13;                2.67;                  70;                0.26;traces;0;0;                 0.7;traces;0;                29.2;                27.2;                9.17;0;0;                0.16;                0.15;                1.91;                1.26;                18.2;                5.47;                21.5;                8.03;                1.14;0;0;-;                 5.6;                0.76;                 6.9;                 459;< 1;< 1;< 10;< 2;< 1;                 5.2;                13.5;< 3;                 265;< 1;                 2.2;                 436;-;                  25;-;-;                 2.4;< 0.05;< 0.05;< 0.05;< 0.05;< 0.05;< 5;< 0.2
08.3;Margarines et matières grasses composées;16733;Matière grasse végétale (type margarine), à tartiner, à 30-40% MG, légère, doux;                1520;                 368;                1520;                 368;                54.8;                 0.5;                 0.5;                6.12;                  38;                 0.5;-;0;0;                0.58;0;0;                15.1;                15.8;                 6.5;                0.29;                0.21;                0.43;                0.48;                 2.5;                1.71;                5.75;                1.56;                10.3;                5.62;                0.87;              0.0097;              0.0028;-;                  34;                0.36;                20.8;                 236;< 1;< 1;< 10;                 2.5;< 1;                  16;                76.8;< 3;                 130;< 1;                 566;                 438;                 7.5;                 9.1;-;-;< 1;                0.33;< 0.05;< 0.05;                0.05;< 0.05;< 5;< 0.1
08.3;Margarines et matières grasses composées;16734;Matière grasse végétale (type margarine), à tartiner, à 30-40% MG, légère, demi-sel;                1550;                 375;                1550;                 375;                51.6;                 0.9;                 0.9;                 7.4;                  38;                 1.5;-;0;0;                 2.1;0;0;                17.3;                10.5;                3.95;               0.067;                0.12;                0.81;                0.63;                4.29;               0.022;                 4.2;                0.94;                9.76;-;                0.99;0;0;-;                  12;                1.63;                54.3;                 919;< 1;< 1;< 10;                 6.1;< 1;                  46;                 117;                 3.6;                 650;< 1;                 650;                 457;-;                12.8;-;-;                 2.2;                0.11;                 0.1;< 0.05;                0.11;                 0.1;< 5;                 0.2
08.3;Margarines et matières grasses composées;16735;Matière grasse végétale (type margarine), à tartiner, à 30-40% MG, légère, doux, aux esters de stérol végétal;                1500;                 364;                1500;                 364;                52.6;                0.09;                0.09;                11.1;                35.5;                 0.1;-;0;0;                 0.8;0;0;                7.78;                8.93;                17.2;-;-;-;-;-;-;-;-;-;                14.3;                2.85;-;-;-;                 2.8;                0.74;                 3.8;                 483;< 1;< 1;< 10;< 2;< 1;                 5.2;                  49;< 3;                 294;< 1;                 197;< 50;                 7.5;                  20;-;-;< 1;< 0.05;< 0.05;< 0.05;< 0.05;< 0.05;                  10;< 0.2
08.3;Margarines et matières grasses composées;16736;Matière grasse végétale (type margarine), à tartiner, à 30-40% MG, légère, doux, riche en oméga 3;                1480;                 360;                1480;                 360;                58.2;0;0;                2.62;                38.8;0;-;0;0;                0.38;0;0;                   9;                16.8;                9.47;0;0;                0.14;                0.12;                1.58;                0.62;                3.08;                 2.4;                15.5;                   6;                   3;               0.018;                0.24;-;                  17;                 0.3;                 7.9;                 234;< 1;< 1;< 10;< 2;< 1;                 8.9;                34.2;< 3;                 120;< 1;                 508;                 438;-;                  29;-;-;< 1;< 0.05;< 0.05;< 0.05;< 0.05;< 0.05;< 5;< 0.1
08.3;Margarines et matières grasses composées;16737;Matière grasse végétale (type margarine) à 50-63% MG, allégée, doux, riche en oméga 3;                2160;                 525;                2160;                 525;                40.7;                0.15;                0.15;                1.05;                57.8;                0.18;-;traces;0;                0.35;0;0;                14.5;                26.8;                  15;0;0;                0.11;                0.12;                3.26;                1.25;                6.71;                1.34;                25.7;                12.3;                2.59;0;               0.051;-;                   4;                0.37;                 4.3;                 177;< 1;< 1;< 10;< 2;< 1;                 3.7;                13.1;< 3;                 147;< 1;< 2;                 547;                 7.5;                23.2;-;-;< 1;< 0.05;< 0.05;< 0.05;< 0.05;< 0.05;< 5;< 0.1
08.3;Margarines et matières grasses composées;16738;Matière grasse végétale (type margarine) à 50-63% MG, allégée, demi-sel;                2200;                 535;                2200;                 535;                36.9;                 0.2;                 0.2;                 3.1;                  58;< 0.2;< 0.5;0;0;                 1.8;0;0;                  25;                  19;                8.46;                 0.3;                0.26;                0.85;                0.79;                4.71;                2.86;                9.01;                2.79;                17.4;                7.18;                1.28;0;0;-;                  22;                1.25;                13.9;                1050;< 1;< 1;< 10;< 2;< 1;                  18;                  35;                 8.4;                 500;< 1;                  45;                 507;                 7.5;                15.4;-;-;< 1;< 0.1;< 0.05;< 0.05;                0.26;< 0.05;< 5;< 0.1
08.3;Margarines et matières grasses composées;16739;Matière grasse végétale (type margarine) à 50-63% MG, allégée, doux, aux esters de stérol végétal;                2300;                 559;                2300;                 559;-;                 0.1;                 0.1;                 0.1;                  62;                 0.1;-;traces;0;                0.53;0;0;                13.5;                24.5;                23.6;-;-;-;-;-;-;-;-;-;                20.8;                2.79;-;-;-;-;                0.53;-;-;-;-;-;-;-;-;-;-;                 210;-;-;-;                 7.5;                  16;-;-;-;-;-;-;-;-;-;-
08.3;Margarines et matières grasses composées;16740;Matière grasse végétale (type margarine) à 50-63% MG, allégée, demi-sel, riche en oméga 3;                2020;                 491;                2020;                 491;                44.2;               0.083;               0.083;               0.017;                54.5;               0.017;-;0;0;                 1.2;0;0;                14.9;                  25;                13.6;-;-;-;-;                 5.1;                 1.8;                 5.7;-;                24.5;                   8;                4.25;-;-;-;                   2;                1.38;-;                 727;-;-;-;-;-;-;-;-;                 550;-;-;-;-;                  17;-;-;-;-;-;-;-;-;-;-
08.3;Margarines et matières grasses composées;16741;Matière grasse végétale (type margarine) à 50-63% MG, allégée, doux;                2130;                 519;                2130;                 519;                41.4;               0.097;               0.097;                 0.6;                57.4;                0.17;< 0.5;traces;0;                 0.6;traces;0;                16.8;                  19;                19.1;                0.14;                0.13;                0.55;                0.49;                3.29;                1.87;                 7.9;                2.44;                16.9;                17.6;                1.58;0;0;-;                  10;                0.37;                13.4;                 381;< 1;< 1;< 10;< 2;< 1;                  14;                22.5;                 9.4;                 144;< 1;                38.5;                 518;                 6.5;                18.6;-;-;                0.75;< 0.05;< 0.05;< 0.05;< 0.05;< 0.05;< 5;< 0.15
08.3;Margarines et matières grasses composées;16742;Matière grasse végétale (type margarine) à 30-40% MG, légère, demi-sel, aux esters de stérol végétal;                1340;                 325;                1340;                 325;-;                 0.1;                 0.1;                 2.5;                  35;                 0.1;-;0;0;                1.23;0;0;                 7.8;                 9.3;                17.5;-;-;-;-;-;-;-;-;-;                14.6;                 2.9;-;-;-;-;                1.23;-;-;-;-;-;-;-;-;-;-;                 490;-;-;-;                 7.5;-;-;-;-;-;-;-;-;-;-;-
08.3;Margarines et matières grasses composées;16743;Matière grasse mélangée (végétale et laitière) à 50-63% MG;                2010;                 489;                2010;                 489;                44.5;                 0.4;                 0.4;                0.58;                  54;                0.58;< 0.35;0;0;                0.59;0;0;                25.7;                  20;                 7.3;                0.43;                0.36;                1.39;                1.08;                6.26;                3.87;                9.21;                2.33;                17.8;                4.81;                2.02;< 0.01;< 0.01;< 0.01;                  38;                0.44;                  16;                 299;< 0.01;                0.03;< 20;                 2.4;< 0.01;                  17;                  51;< 20;                 174;                0.06;                 128;                 880;-;                2.96;                16.5;-;< 0.5;< 0.01;                0.02;< 0.1;               0.078;               0.024;                6.84;                0.04
08.3;Margarines et matières grasses composées;16744;Matière grasse mélangée (végétale et laitière) à 50-63% MG, demi-sel;                1980;                 481;                1980;                 481;-;                 0.4;                 0.4;                 0.6;                  53;                 0.6;-;0;0;                 1.5;0;0;                25.7;                  20;                 7.3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;                  38;                 1.5;-;-;-;-;-;-;-;-;-;-;                 600;-;-;-;-;                   8;-;-;-;-;-;-;-;-;-;-
08.3;Margarines et matières grasses composées;16745;Matière grasse mélangée (végétale et laitière), à tartiner, à 30-40% MG;                1580;                 383;                1580;                 383;                54.4;                1.69;                1.69;                2.21;                40.9;                1.13;                1.08;0;0;                0.86;0;0;                20.6;                14.3;                 5.7;                0.12;                0.18;                1.47;                0.97;                6.76;                3.09;                6.58;                1.41;                13.5;                3.72;                1.51;< 0.01;< 0.01;< 0.01;                15.1;                0.54;                  51;                 237;< 0.01;                0.04;< 20;                   5;< 0.01;                  42;                 120;< 20;                 217;                0.19;< 21;                 422;-;                5.13;                 8.4;-;< 0.5;               0.017;               0.095;< 0.1;                0.24;               0.035;< 5;                0.14
08.3;Margarines et matières grasses composées;16746;Matière grasse mélangée (végétale et laitière), à tartiner, à 30-40% MG, demi-sel;                1530;                 370;                1530;                 370;-;                 1.5;                 1.5;                 5.6;                  38;                 2.5;-;0;0;                1.75;0;0;                17.5;                13.5;                5.38;-;-;-;-;-;-;-;-;-;-;-;-;-;-;                13.7;                1.75;-;-;-;-;-;-;-;-;-;-;                 700;-;-;-;-;                   5;-;-;-;-;-;-;-;-;-;-
