ORIGGPCD;ORIGGPFR;ORIGFDCD;ORIGFDNM;Energie, Règlement UE N° 1169/2011 (kJ/100g);Energie, Règlement UE N° 1169/2011 (kcal/100g);Energie, N x facteur Jones, avec fibres  (kJ/100g);Energie, N x facteur Jones, avec fibres  (kcal/100g);Eau (g/100g);Protéines (g/100g);Protéines brutes, N x 6.25 (g/100g);Glucides (g/100g);Lipides (g/100g);Sucres (g/100g);Amidon (g/100g);Fibres alimentaires (g/100g);Polyols totaux (g/100g);Cendres (g/100g);Alcool (g/100g);Acides organiques (g/100g);AG saturés (g/100g);AG monoinsaturés (g/100g);AG polyinsaturés (g/100g);AG 4:0, butyrique (g/100g);AG 6:0, caproïque (g/100g);AG 8:0, caprylique (g/100g);AG 10:0, caprique (g/100g);AG 12:0, laurique (g/100g);AG 14:0, myristique (g/100g);AG 16:0, palmitique (g/100g);AG 18:0, stéarique (g/100g);AG 18:1 9c (n-9), oléique (g/100g);AG 18:2 9c,12c (n-6), linoléique (g/100g);AG 18:3 c9,c12,c15 (n-3), alpha-linolénique (g/100g);AG 20:4 5c,8c,11c,14c (n-6), arachidonique (g/100g);AG 20:5 5c,8c,11c,14c,17c (n-3) EPA (g/100g);AG 22:6 4c,7c,10c,13c,16c,19c (n-3) DHA (g/100g);Cholestérol (mg/100g);Sel chlorure de sodium (g/100g);Calcium (mg/100g);Chlorure (mg/100g);Cuivre (mg/100g);Fer (mg/100g);Iode (µg/100g);Magnésium (mg/100g);Manganèse (mg/100g);Phosphore (mg/100g);Potassium (mg/100g);Sélénium (µg/100g);Sodium (mg/100g);Zinc (mg/100g);Rétinol (µg/100g);Beta-Carotène (µg/100g);Vitamine D (µg/100g);Vitamine E (mg/100g);Vitamine K1 (µg/100g);Vitamine K2 (µg/100g);Vitamine C (mg/100g);Vitamine B1 ou Thiamine (mg/100g);Vitamine B2 ou Riboflavine (mg/100g);Vitamine B3 ou PP ou Niacine (mg/100g);Vitamine B5 ou Acide pantothénique (mg/100g);Vitamine B6 (mg/100g);Vitamine B9 ou Folates totaux (µg/100g);Vitamine B12 (µg/100g)
23.5;Cocktails;5004;Panaché (limonade et bière);                 152;                36.2;                 152;                36.2;                92.3;                0.16;                0.16;                5.47;0;                 5.4;0;0;               0.004;                0.17;                1.95;0;0;0;0;-;-;-;-;-;-;-;-;-;-;-;-;-;-;0;              0.0052;< 0.77;-;< 0.0019;               0.058;                 0.9;                0.36;< 0.0008;                9.95;                18.9;< 2.2;                2.07;< 0.016;0;0;0;0;-;-;                0.08;              0.0065;               0.036;                0.31;               0.065;               0.022;                3.23;               0.038
23.5;Cocktails;5005;Panaché préemballé (<1° alc.);                 107;                25.4;                 107;                25.4;                  94;                0.48;                0.48;                4.93;< 0.05;                4.92;0;0;              0.0032;                0.07;                 0.5;0;0;0;0;-;-;-;-;-;-;-;-;-;-;-;-;-;-;0;              0.0034;                3.42;                13.2;               0.001;               0.006;                   1;                3.07;               0.008;                 9.9;                7.47;                 1.1;                1.37;0;0;0;0;0;-;-;              0.0035;              0.0035;               0.012;                0.53;               0.047;               0.033;                   5;               0.033
24;Salades composées et crudités;25600;Céleri rémoulade, préemballé;-;-;-;-;                78.5;                1.12;                1.12;                4.19;                12.8;                2.38;                 1.3;                2.87;0;                1.59;0;-;                1.08;                7.73;                3.67;< 0.05;< 0.05;< 0.05;< 0.05;< 0.05;               0.013;                0.66;                0.22;                4.64;                1.69;                1.03;-;-;< 0.01;                 0.1;                   1;                28.7;                 616;               0.072;                 0.3;                   2;                11.9;                0.11;                  35;                 310;< 10;                 395;                0.22;< 2;< 8;< 0.5;                 3.4;-;-;                25.2;< 0.04;< 0.04;                0.38;                0.28;                0.19;                  28;< 0.08
24;Salades composées et crudités;25601;Salade de thon et légumes, appertisée, égouttée;-;-;-;-;                76.5;                9.15;                9.15;                7.74;                4.82;                3.08;                 4.1;                 2.7;0;                1.79;0;-;                0.56;                1.83;                1.76;< 0.05;< 0.05;< 0.05;< 0.05;< 0.05;               0.008;                0.38;                0.12;-;                1.15;               0.056;-;               0.008;               0.039;                19.2;                1.11;                20.7;                 731;                 0.1;                 1.1;                   2;                25.1;                 0.1;                88.4;                 232;-;                 445;                 0.6;< 2;-;< 0.5;                 1.6;-;-;                2.75;< 0.04;               0.053;                4.45;< 0.16;                0.29;                  31;                1.45
24;Salades composées et crudités;25602;Salade composée avec viande ou poisson, appertisée, égouttée;-;-;-;-;                76.7;                8.06;                8.06;                 6.4;                 5.3;                 1.9;                 3.3;                   2;0;                 1.5;0;-;                0.16;                3.27;                1.54;< 0.01;< 0.01;< 0.01;< 0.01;< 0.01;< 0.01;                0.12;                0.04;                2.24;                1.08;                0.28;               0.016;               0.016;                0.15;                15.2;                0.95;                  22;                 584;                0.07;                 0.7;< 20;                  20;                 0.1;                  92;                 220;                  30;                 381;                0.38;< 21;                 781;-;                2.04;                9.75;-;-;               0.032;               0.022;                4.13;                 0.2;                0.12;                11.1;                1.23
24;Salades composées et crudités;25605;Champignon à la grecque;-;-;-;-;                84.6;                2.08;                2.08;                3.95;                3.55;                2.38;                0.28;                2.35;0;                 1.6;0;-;                0.23;                1.74;                1.43;-;-;-;-;-;-;-;-;-;-;               0.026;-;-;-;                0.11;                1.26;                22.6;-;                0.17;                0.58;                2.46;                13.8;                0.13;                52.2;                 292;                1.79;                 500;                0.39;0;                 747;0;                1.47;-;-;                10.3;               0.062;                 0.2;                1.88;                0.76;                0.11;                27.3;               0.018
24;Salades composées et crudités;25606;Salade de pommes de terre maison;-;-;-;-;                  76;                2.68;                2.68;                 9.9;                 8.2;-;-;                 1.3;0;                1.95;0;-;                1.43;                2.48;                3.74;-;-;-;0;               0.011;               0.013;                1.03;                0.37;-;-;-;-;-;-;                  68;                1.33;                  19;-;                0.12;                0.65;-;                  15;                 0.1;                  52;                 254;-;                 529;                0.31;                  29;                  36;0;-;-;-;                  10;               0.077;                0.06;                0.89;                0.53;                0.14;                   7;0
24;Salades composées et crudités;25608;Taboulé ou Salade de couscous, préemballé;-;-;-;-;                66.4;                4.29;                4.29;                22.2;                5.65;                3.82;                  13;                2.27;0;                1.13;0;-;                 0.6;                 3.3;                1.27;< 0.05;< 0.05;< 0.05;< 0.05;< 0.05;               0.005;                0.38;                0.11;-;                1.03;                0.23;< 0.0026;< 0.0026;< 0.0026;                 0.1;                0.91;                19.9;-;                0.12;                0.72;                   2;                27.1;                 0.3;                66.5;                 207;< 10;                 355;                0.46;0;-;0;                1.68;-;-;                14.5;                0.09;                0.04;                0.83;-;                0.09;                  17;0
24;Salades composées et crudités;25609;Salade de pomme de terre à la piémontaise, préemballée;-;-;-;-;                74.9;                4.11;                4.11;                7.98;                9.28;                1.17;-;                1.51;0;                 1.5;0;-;                1.15;                4.06;                 1.8;< 0.01;< 0.01;< 0.01;< 0.01;< 0.01;               0.015;                0.75;                0.26;                4.06;                1.28;                0.52;-;-;< 0.01;                34.2;                0.97;-;-;-;-;                 7.5;-;-;-;                 195;-;                 384;-;-;-;                 0.5;                2.07;-;-;                7.62;-;-;-;-;-;-;-
24;Salades composées et crudités;25614;Salade de riz;-;-;-;-;                72.5;                5.13;                5.13;                16.1;                4.35;                   1;                14.3;                 1.7;0;                1.49;0;-;                0.53;                2.23;-;-;-;-;-;              0.0042;              0.0083;                0.36;                0.12;                2.23;                1.05;                 0.2;-;-;               0.013;                 6.5;                 1.1;                23.3;-;< 0.1;                0.43;< 5;                13.1;                 0.1;                66.6;                 143;                17.7;                 431;                 0.3;< 2;                  34;< 0.5;                1.63;-;-;                4.48;               0.058;               0.045;                2.65;                0.14;                0.13;                33.5;                0.43
24;Salades composées et crudités;25615;Salade de pâtes, végétarienne;-;-;-;-;                75.4;                 5.7;                 5.7;                12.9;                 8.1;                 2.3;                  10;                 1.7;0;                0.73;0;-;                2.37;                1.46;                3.92;-;-;-;-;-;-;-;-;-;-;-;-;-;-;                   6;                0.58;                  14;                  86;                0.06;                 0.6;                   4;                  11;                 0.2;                  37;                  84;-;                  51;                 0.4;                   7;                1180;0;                1.95;-;-;                  21;                0.04;                0.02;                 0.4;0;                0.09;                  16;0
24;Salades composées et crudités;25619;Salade de pâtes aux légumes, avec poisson ou viande;-;-;-;-;                76.1;                5.19;                5.19;                  14;                9.94;                2.16;                7.58;                1.98;0;                1.61;0;-;                1.74;                5.85;                1.91;-;-;-;-;-;-;-;-;-;-;-;-;              0.0023;              0.0098;                  11;                0.95;                18.5;                 492;               0.091;                0.69;                3.13;                  20;                0.15;                66.2;                 177;                 5.3;                 378;                0.52;                  16;                 494;                0.23;                0.55;-;-;                5.56;               0.069;               0.053;                1.93;                0.24;                0.13;                14.5;                0.23
24;Salades composées et crudités;26269;Taboulé ou Salade de couscous au poulet, préemballé;-;-;-;-;                62.6;                6.52;                6.52;                20.6;                7.75;                2.63;                16.6;                2.27;0;                1.59;0;-;                0.86;                3.78;                1.75;< 0.01;< 0.01;< 0.01;< 0.01;                0.02;                0.02;                0.57;                0.15;                3.78;                1.33;                0.42;< 0.01;< 0.01;< 0.01;                8.24;                1.03;                  18;                 661;                 0.1;                 0.8;< 20;                  24;                0.32;                 100;                 190;< 20;                 415;                0.65;< 21;                 135;-;                1.48;                3.22;-;< 0.5;                0.14;               0.045;                1.16;                 0.4;               0.096;                96.5;                 0.1
25;Plats composés;25108;Samossas ou Samoussas;                 987;                 237;                 987;                 237;                55.2;                9.33;                9.33;                18.1;                13.7;                2.67;                15.3;                 1.8;0;                1.87;0;0;                2.78;                5.27;                3.21;< 0.05;< 0.05;< 0.05;< 0.05;                0.01;               0.051;                0.97;                0.49;-;-;               0.041;-;-;-;                  23;                1.26;                  31;                 790;< 0.1;                 1.3;                   3;                17.8;                 0.4;                  95;                 182;                38.6;                 493;                0.87;< 2;                  34;< 0.5;                1.45;-;-;                 0.7;               0.068;                0.12;                 1.5;                0.22;                0.13;                  20;                0.34
25;Plats composés;25169;Spécialité chinoise ou bouchées à la vapeur, cuite;                 595;                 141;                 595;                 141;                64.6;                 5.9;                 5.9;                  26;                 1.4;                 3.9;-;                0.21;0;                1.96;0;0;                0.31;                0.75;                0.28;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;                1.26;-;-;-;-;-;-;-;-;-;-;                 540;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
25;Plats composés;25419;Rouleau de printemps;                 460;                 109;                 460;                 109;                73.9;                4.57;                4.57;                  18;                1.82;                 3.6;                  13;                 1.2;0;                0.54;0;0;                0.64;                0.54;                0.44;< 0.002;< 0.002;< 0.002;< 0.002;               0.003;               0.024;                0.42;                0.16;                0.51;                0.34;               0.055;               0.017;                0.01;              0.0085;                13.9;                0.29;                22.5;-;                 0.1;                 0.4;                  25;                12.6;                0.15;                14.9;                  87;                   5;                 116;                0.45;< 2;                  74;-;                0.18;-;-;                 1.5;< 0.04;< 0.04;                0.64;< 0.16;                0.11;< 16;                0.16
25;Plats composés;25420;Nem ou Pâté impérial;                 937;                 224;                 937;                 224;                54.8;                6.48;                6.48;                23.1;                11.2;                3.02;                17.2;                2.54;0;                1.87;0;0;                 2.9;                5.08;                2.74;< 0.05;< 0.05;               0.011;               0.011;               0.011;               0.087;                1.82;                0.96;                1.55;                1.41;               0.059;                0.02;             0.00053;              0.0028;                  28;                1.52;                  25;                 810;                 0.1;                 0.9;                   1;                  16;                 0.2;                  67;                 160;                4.38;                 609;                0.62;< 2;                 180;< 0.5;                0.82;-;-;< 0.5;                0.11;               0.057;                 1.4;                0.25;                0.12;                23.1;                0.22
25;Plats composés;25438;Brick garni (garniture : crevettes, légumes, volaille, viande, poisson, etc.);                 777;                 186;                 777;                 186;                65.1;                12.2;                12.2;                8.22;                11.5;                 0.7;                7.52;                0.59;0;                 2.4;0;0;                2.77;                3.02;                4.96;-;-;-;-;-;-;-;-;-;-;-;-;               0.033;               0.035;                85.3;                1.41;                32.8;-;                0.13;                1.03;                12.9;                21.5;                0.15;                 115;                 183;                9.35;                 565;                 0.9;                45.7;                88.2;                0.51;                4.95;-;-;                2.93;               0.057;                0.12;                 2.9;                 0.6;                0.19;                16.6;                0.67
25;Plats composés;25551;Beignet de viande, volaille ou poisson, fait maison;                 989;                 237;                 989;                 237;                55.9;                18.7;                18.7;                9.79;                13.5;                0.91;                8.88;                0.41;0;                1.64;0;0;                2.88;                6.79;                2.96;-;-;-;-;-;-;-;-;-;-;-;-;               0.037;                0.12;                85.2;                0.71;                36.6;-;               0.073;                1.23;                34.3;                25.4;               0.082;                 180;                 272;                13.9;                 285;                1.61;                22.3;                2.48;                0.29;                2.91;-;-;                0.27;                 0.1;                0.18;                3.43;                0.62;                0.24;                15.8;                1.13
25;Plats composés;25557;Brick à l'oeuf;                1070;                 256;                1070;                 256;                56.2;                10.4;                10.4;                12.7;                18.1;                 1.6;                 7.5;                 0.5;0;                 2.1;0;0;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;                 264;                1.35;                70.7;-;                0.05;                 1.4;                  31;                13.8;                0.08;                 141;                 132;                 9.6;                 538;                0.83;                 122;                 100;                1.24;                   7;-;-;                 3.6;                0.06;                0.38;                0.32;                1.09;                 0.1;                  92;                0.81
25;Plats composés;25559;Brick à la pomme de terre;                 900;                 216;                 900;                 216;                60.2;                3.25;                3.25;                19.8;                13.4;                 1.5;                15.9;                 1.7;0;                 1.7;0;0;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;                  31;                   1;                26.4;-;                0.07;                 0.6;                 5.9;                13.8;                0.11;                  54;                 252;                 1.5;                 400;                0.26;                  14;                  45;                0.14;                 7.7;-;-;                 8.8;                0.08;                0.06;                1.06;                0.49;                0.19;                  21;                0.09
25.1;Plats de viande/volaille sans garniture;8601;Tripes à la mode de Caen;                 491;                 117;                 491;                 117;                  74;                20.4;                20.4;                0.51;                3.68;traces;                 0.3;0;0;                 1.5;0;0;                1.29;                1.12;                0.18;              0.0032;              0.0032;< 0.0034;              0.0032;              0.0052;               0.071;                0.63;                0.57;                   1;               0.086;               0.011;-;-;-;                 119;                1.06;                  23;-;-;                 1.1;                   6;                 6.4;-;-;                42.5;-;                 423;                0.64;-;-;-;                0.47;-;-;0;                0.02;-;                0.37;                0.42;               0.023;-;                 1.2
25.1;Plats de viande/volaille sans garniture;25001;Blanquette de veau;                 475;                 113;                 475;                 113;                74.7;                6.43;                6.43;                14.3;                3.23;                 1.3;-;                 0.5;0;                0.87;0;0;                 1.4;                1.06;                0.51;-;-;-;-;-;-;-;-;-;                0.23;                0.03;-;-;-;                  74;                 0.8;                  26;-;                0.09;                0.82;                7.25;                14.4;                0.06;                 115;                 183;                   4;                 310;                 2.4;                  24;                 486;                 0.7;                   1;-;-;                   1;                0.04;                0.19;                3.35;                0.57;                0.17;                12.6;                 0.7
25.1;Plats de viande/volaille sans garniture;25033;Boeuf bourguignon;                 405;                96.5;                 405;                96.5;                78.4;                8.93;                8.93;                6.88;                3.42;                1.57;                 1.3;                1.25;0;                1.11;0;0;                0.88;                1.18;                0.44;< 0.05;              0.0025;              0.0025;               0.004;               0.006;               0.044;                0.52;                0.27;                0.71;                0.22;               0.022;-;-;< 0.01;                  64;                0.88;                16.9;                 409;               0.053;                1.75;                 3.8;                13.3;               0.054;                 215;                 230;< 2.58;                 354;                2.91;                  10;-;                 0.5;                 0.6;-;-;                 0.8;                0.07;                 0.1;                 2.3;                 0.3;                0.23;                  11;                 0.6
25.1;Plats de viande/volaille sans garniture;25035;Sauté d'agneau au curry;                 701;                 169;                 701;                 169;                73.5;                10.5;                10.5;0;                13.9;-;-;                   1;0;                 1.7;0;0;                 6.7;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;                1.29;                17.5;-;                0.07;                2.15;-;                13.3;                0.04;                 181;                 200;-;                 514;                2.77;-;-;-;-;-;-;-;-;-;-;-;-;-;-
